"Index","Page","Heading1","Heading2","Item","Anchor","InternalAction","Comment"
"1","8","1. Glossary of terms and interpretation","1.1 Defined terms","(b)","the Delivered Equipment is Fit for Purpose and is otherwise of merchantable quality;","False","Supplier requests deletion of this requirement as ""fitness for purpose"" and ""merchantable quality"" are broad concepts that are not appropriate for the supply of complex off-the-shelf electrical equipment. The Supplier's obligations should be limited to compliance with the agreed specifications, Minimum Performance Criteria and the express warranties provided under the Contract."
"2","8","1. Glossary of terms and interpretation","1.1 Defined terms","(d)","the Acceptance Tests:","False","Supplier requests for inclusion of the proposed wording. As currently drafted, Acceptance is linked to completion of Acceptance Tests by the Principal, which is an event outside the Supplier's control. This creates an open-ended Acceptance date, resulting in uncertainty for both scope close-out and accounting purposes."
"3","9","","","","Associated Site(s) mean any site within Australia, in addition to the Site, that the Supplier is required to access to perform its Supplier Scope (other than the Supplier’s own premises), as specified in the Supply Order or as notified by the Principal from time to time.","False","We request to add the proposed wording to ensure that the sites are restricted within Australia."
"4","11","","","","","False","The proposed amendments clarify that a Defect relates to a material non-conformance that impacts the Equipment's or Services' compliance with the Contract. This provides greater certainty regarding the operation of the defect rectification provisions and ensures that the defect regime remains focused on issues that materially affect contractual performance."
"5","14","","","(a)","any disruption, delay or inability to transport, ship or deliver Goods arising from marine perils, acts of maritime authorities, closure or congestion of ports, shortage of vessels or containers, blockage of shipping routes, or other events affecting ocean, sea or inland waterway transportation.","False","We request the inclusion of shipping disruptions and perils of the sea within the definition of Force Majeure. Given the marine transportation and global supply chain risks associated with the supply of the Goods, events such as port closures, vessel unavailability, shipping route disruptions and maritime casualties may materially impact performance despite being beyond the reasonable control of the affected Party. Inclusion of this wording appropriately allocates such risks and reflects current market practice for international supply contracts."
"6","16","","","(e)","to achieve the asset life for the Equipment which is referred to in clause 14.1(i)(f); and","False","Supplier requests the deletion of the proposed wording, as clause 14.1 contains no asset life requirement. Further, asset life is dependent on numerous factors beyond the Supplier's control and is not typically incorporated into the definition of Good Industry Practice."
"7","16","","","","Gross Negligence means, in respect of a Partythe Supplier, an act or omission that constitutes a serious andarises as a result of a significant departure from the standard of care that would ordinarily be expected of a reasonable person in the same or similar circumstancesRelevant Supplier.","False","Request the proposed amendment to ensure the definition reflects the elevated standard of fault intended by the concept of gross negligence. The revised wording applies on a mutual basis and clarifies that gross negligence requires a serious departure from the standard of care reasonably expected in the relevant circumstances."
"8","18","","","","","False","Supplier requests the proposed amendments. The current definition is extremely broad and captures indirect losses, unquantified future liabilities, insurance-related costs and other potentially remote forms of loss. The proposed wording provides a clearer and more proportionate allocation of risk by limiting recovery to direct losses actually suffered and reasonable associated costs."
"9","19","","","","Parent Company Guarantee has the meaning given in clause 8.10(a)(a).","False","Supplier respectfully requests deletion of the Parent Company Guarantee requirement, as ABB Australia does not provide Parent Company Guarantees and has the financial standing and capability to support performance of its obligations under the Contract."
"10","21","","","","Project IP means deliverables specifically developed for Principal under the Contract and expressly identified as 'Principal IP' in the SOW. Supplier's pre-existing IP, technology improvements, product developments, and know-how remain Supplier's property. means all Intellectual Property Rights (present or future) created, discovered, or coming into existence as a result of or in connection with the Supplier Scope or this Contract and including any improvements on or developments to the Supplier’s Background IP as a result of or in connection with the Scope of Work or this Contract, including tendering for this Contract or providing a Supply Order.","False","The proposed amendment clarifies the distinction between contract-specific deliverables developed for the Principal and the Supplier's pre-existing intellectual property, know-how, technology and improvements. This ensures that ownership of deliverables created specifically for the Principal is preserved, while allowing the Supplier to retain and continue using its underlying intellectual property, methodologies and developments developed in the course of its business."
"11","25","","","(a)","a deliberate and consciouswilful or intentional breach of or reckless disregard for, of a material term or condition of this Contract, but does not include any error of judgment or mistake made by:","False","Supplier requests the proposed amendments to ensure that Wilful Default is limited to deliberate misconduct or reckless disregard of contractual obligations and does not capture ordinary contractual disputes, errors of judgment or good faith decisions. The proposed wording provides a clear and appropriately high threshold consistent with the serious nature of a Wilful Default carve-out."
"12","27","","","(b)","the Supplier acknowledges the existence of such trusts and consents to the Principal exercising or otherwise enforcing such rights or benefits on behalf of those third parties. Any right or benefit conferred under this clause is subject to the limitations, exclusions and caps on liability contained in this Contract.","False","Supplier requests the proposed amendment to limit the class of third-party beneficiaries to those with a legitimate interest in the performance of the Contract. The current drafting extends contractual rights to a broad range of non-contracting parties and should, at a minimum, remain subject to the Contract's agreed liability limitations and exclusions."
"13","27","2. Contract formation","2.1 Term","(b)","No later than 20 Business Days prior to the Expiry Date, either partythe Principal may request the other by written notice to the Supplier extend this Contract. Provided the parties mutually agree to such extension, the Contract may be extended on any number of occasions on the same terms and conditions, on each occasion for a period which is no greater than the Further Term.","False","Supplier requests amendment so that any further term may only be granted by mutual written agreement between the parties. This provides certainty that both parties remain aligned on the commercial and operational arrangements applicable to the extension period."
"14","28","2. Contract formation","2.2 Standing offer agreement","","The Supplier acknowledges and agrees that this Contract is to engage the Supplier on a standing offer basis, whereby a Principal Group Member may from time to time during the Term accept the Supplier's standing offer to supply Equipment or perform Services (or both) by issuing Supply Orders., provided that each Supply Order is subject to the Supplier's then-current pricing, lead times and product availability, as notified by the Supplier from time to time.","False","Supplier requests the proposed amendments. As the Contract operates as a long-term standing offer arrangement, the Supplier requires flexibility to manage changes in product availability, manufacturing capacity, supply chain conditions, delivery lead times and other circumstances that may arise during the Term. The proposed wording provides reasonable protection by ensuring future Supply Orders are subject to the Supplier's then-current commercial and operational capabilities and does not oblige the Supplier to accept orders that it cannot reasonably fulfil."
"15","29","","2.3 Supply Orders","(b)","the nature of the Equipment and Services to be supplied under this Contract and any Supply Order will be in the nature of the Equipment and Services specified in Item 37 of the Contract Particulars.","False","Correcting the right reference number of the Contract Particulars."
"16","29","","2.3 Supply Orders","(c)","If the Supply Order or request for proposal contain Delivery or other requirements which are not consistent with this Contract or not reasonably achievable by the Supplier, the Supplier shall not be obliged to accept the Supply Order.","False","Supplier requests the proposed amendment as the Agreement operates on a standing offer basis. The proposed wording provides a reasonable mechanism to ensure that future Supply Orders remain consistent with the agreed contractual framework and the Supplier's then-current ability to perform, including with respect to delivery requirements, capacity constraints and product availability."
"17","31","","2.5 Discrepancies","(a)","If any inconsistency, conflict, ambiguity or discrepancy within or between any one or more of the Contract Documents (Discrepancy) is notified to, or discovered by the Principal, then, such Discrepancy shall be resolved in the order set out under clause 2.4, failing which:","False","As per standard industry practice, any such Discrepancy shall first be evaluated based on the order of precedence, failing which the Principal can issue directions as per its discretion to which the Supplier shall have reasonable grounds of appeal, if needed."
"18","33","3. Acting with integrity","3.1 Modern Slavery and Human Rights","(c)","Each PartyThe Supplier:","False","Supplier requests mutuality of these obligations to ensure both parties are held to consistent standards in respect of Modern Slavery and Human Rights compliance."
"19","34","","3.2 Sanctions","(a)","Throughout the term of this Contract, the neither partySupplier and its Related Bodies Corporate must:","False","Supplier requests these obligations apply equally to both parties, as compliance with applicable sanctions laws and regulations is a responsibility shared by all parties to the Contract."
"20","35","","3.4 Bribery and Corruption","(e)","The Parties shall comply, and shall ensure that their employees, directors, officers, affiliates and third parties to comply, with all applicable laws (including anti-bribery and anti-corruption laws, human rights, environment, health and safety and sanctions and trade control laws and regulations) and trade sanctions requirements and prohibitions applicable to the Parties (including comprehensive sanctions by the United States, European Union, or Switzerland). Any violation of this clause shall constitute a material breach of the Agreement and, in addition to any other remedies under the law and/or this Agreement, non-infringing Party shall be entitled to unilaterally terminate this Agreement with immediate effect and without liability for any claim, losses or damages whatsoever related to the termination","False","We request inclusion of the proposed wording, as the Supplier is required to flow down these compliance obligations through its contracts in accordance with its procurement and compliance policies. In addition, similar compliance obligations elsewhere in the Agreement currently apply only to the Supplier, and the proposed wording provides a more balanced and consistent allocation of responsibilities."
"21","37","","3.6 Verification rights and failure to comply","(c)","Without limiting any of the Principal’s rights or remedies under the Contract or otherwise at Law, either Partythe Principal may terminate the Contract under clause 25.4(b) (without being required to issue a Supplier Default Notice) if the PartyPrincipal considers that:","False","We request that this provision be amended to provide equivalent termination rights to both parties, as each party is subject to the same compliance obligations and should have access to the same remedies in the event of a material breach."
"22","37","4. Supplier's obligations","4.1 Supplier Scope","(c)","any Direction of the Principal in accordance with this Contract;","False","We request inclusion of the proposed wording to clarify that any Direction issued by the Principal must be consistent with, and authorised by, the Contract. As currently drafted, the provision could be interpreted broadly and may inadvertently extend the Supplier's obligations beyond the agreed scope."
"23","40","","4.5 Disclosed Information","(a)","The Supplier is not entitled to make any Claim against the Principal in connection with the ambiguity, inaccuracy or insufficiency (including any Direction given by the Principal under clause 4.5(b)).","False","We request deletion of this provision, as there may be circumstances where ambiguities, inaccuracies or insufficiencies in the Disclosed Information give rise to a valid Claim under the Contract. Any entitlement or remedy should be assessed in accordance with the Contract and the specific circumstances on a case by case basis, rather than being excluded through a blanket waiver."
"24","45","7. Supplier's workforce","7.2 Removal of persons","(a)","Without limiting clauses 7.2(a) and 7.2(b), to the extent permitted by Law, the Supplier must take disciplinary action that is, in the reasonable opinion of the Principal, appropriate against any of the Supplier's Personnel who fails to comply with the Principal’s Policies and Procedures.","False","Request for deletion as the supplier’s obligation shall end at removal of the Employee from any performance in connection with this Contract."
"25","45","8. Security","8.1 Provision of Security","A.","in the form and the terms set out in Schedule 8; or","False","BG Template provided separately for prior approval and incorporation into schedule 8."
"26","47","","8.7 Additional Security","","","False","Supplier requests deletion of the Retention Monies provisions. Given the availability of Performance Security and the other protections afforded to the Principal under the Contract, Retention Monies would constitute an additional and duplicative form of security."
"27","48","","8.9 No injunction","8.10","Not UsedParent Company Guarantee","False","As stated in the earlier comments, Supplier respectfully requests deletion of the Parent Company Guarantee requirement, as ABB Australia does not provide Parent Company Guarantees and has the financial standing and capability to support performance of its obligations under the Contract"
"28","49","9. Supplier Documents and Reports","9.1 Supplier Documents","(a)","If the Supplier submits a Supplier Document earlier than the date prescribed under clause 9.1(a)(b), it will be deemed to have been received on that prescribed date, unless notified otherwise by the Principal in writing.","False","We request deletion of this provision, as the early submission of Supplier Documents does not impose any additional obligation on the Principal. Further, given the accelerated delivery requirements contemplated under the Contract, the Supplier may need to submit documents ahead of the prescribed date to facilitate timely review and project execution."
"29","49","","9.2 Effect of review of Supplier Documents","(d)","entitle the Supplier to make a Claim against the Principal;","False","We request deletion of this provision. While the Principal's review or approval of a Supplier Document should not, of itself, give rise to a Claim, it should also not operate to exclude a Claim that may otherwise arise under the Contract based on the particular facts and circumstances on a case to case basis."
